UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
115,M10115,M,299.2,309.1,1452,41.1,43,0,0,0,0,0,0
116,H10116,H,299.3,308.9,1636,34.2,197,0,0,0,0,0,0
117,H10117,H,299.3,308.6,1574,36.8,83,0,0,0,0,0,0
118,L10118,L,299.2,307.4,1494,50.6,245,1,0,0,0,1,0
119,H10119,H,299.3,309.3,1675,44.7,27,0,0,0,0,0,0
120,M10120,M,299.4,308.1,1598,37.3,22,0,0,0,0,0,0
121,H10121,H,299.3,309.2,1419,53.8,11,0,0,0,0,0,0
122,H10122,H,299.2,311.4,1274,32.8,151,0,0,0,0,0,0
123,L10123,L,299.2,308.6,1511,35.1,50,0,0,0,0,0,0
124,L10124,L,299.1,309.3,1638,39.3,107,0,0,0,0,0,0
125,L10125,L,299.0,309.9,1561,30.8,149,0,0,0,0,0,0
126,L10126,L,298.9,309.2,1657,50.7,61,0,0,0,0,0,0
127,H10127,H,298.9,309.2,1440,41.1,25,0,0,0,0,0,0
128,H10128,H,298.9,308.5,1488,35.3,213,0,0,0,0,0,0
129,L10129,L,298.8,308.6,1491,42.7,57,0,0,0,0,0,0
130,M10130,M,298.8,307.9,1524,40.9,198,0,0,0,0,0,0
131,L10131,L,298.8,309.6,1577,38.2,142,0,0,0,0,0,0
132,L10132,L,298.9,307.1,1663,32.7,239,0,0,0,0,0,0
133,L10133,L,298.9,309.9,1684,31.4,221,0,0,0,0,0,0
134,L10134,L,299.0,307.6,1667,53.1,67,1,0,0,1,0,0
135,H10135,H,299.0,309.9,1567,31.9,5,0,0,0,0,0,0
136,L10136,L,299.1,308.7,1466,50.2,239,1,0,0,0,1,0
137,M10137,M,299.0,307.8,1523,34.9,110,0,0,0,0,0,0
138,M10138,M,298.9,309.5,1566,44.7,129,0,0,0,0,0,0
139,L10139,L,298.9,309.8,1514,42.8,158,0,0,0,0,0,0
140,H10140,H,299.0,308.6,1409,44.0,23,0,0,0,0,0,0
141,H10141,H,299.0,309.7,1454,44.4,34,0,0,0,0,0,0
142,L10142,L,299.0,306.7,1587,30.3,46,0,0,0,0,0,0
143,L10143,L,298.9,307.6,1475,35.9,30,0,0,0,0,0,0
144,L10144,L,299.0,310.3,1502,31.8,88,0,0,0,0,0,0
145,L10145,L,299.0,308.8,1492,41.1,199,0,0,0,0,0,0
146,L10146,L,299.1,307.2,1411,32.1,75,0,0,0,0,0,0
147,M10147,M,299.0,308.3,1483,28.1,117,0,0,0,0,0,0
148,M10148,M,299.0,308.1,1454,38.6,249,0,0,0,0,0,0
149,L10149,L,298.9,308.8,1431,26.7,129,0,0,0,0,0,0
150,L10150,L,298.9,308.6,1394,41.6,206,0,0,0,0,0,0
151,H10151,H,298.9,309.1,1490,32.5,103,0,0,0,0,0,0
152,L10152,L,298.8,308.8,1562,35.0,58,0,0,0,0,0,0
153,L10153,L,298.8,310.2,1612,26.3,95,0,0,0,0,0,0
154,L10154,L,298.8,309.2,1361,49.9,62,0,0,0,0,0,0
155,H10155,H,298.8,309.2,1661,31.2,245,0,0,0,0,0,0
156,L10156,L,298.8,309.9,1529,37.8,202,0,0,0,0,0,0
157,M10157,M,298.8,308.4,1387,29.2,144,0,0,0,0,0,0
158,M10158,M,298.8,307.5,1460,35.0,53,0,0,0,0,0,0
159,L10159,L,298.8,310.0,1312,50.5,124,0,0,0,0,0,0
160,M10160,M,298.7,308.9,1338,41.8,148,0,0,0,0,0,0
161,L10161,L,298.7,308.9,1672,35.7,21,0,0,0,0,0,0
162,M10162,M,298.7,308.1,1430,39.8,124,0,0,0,0,0,0
163,M10163,M,298.7,308.1,1554,36.6,96,0,0,0,0,0,0
164,M10164,M,298.7,309.6,1489,39.4,115,0,0,0,0,0,0
165,L10165,L,298.7,309.7,1502,44.5,182,0,0,0,0,0,0
166,H10166,H,298.7,309.5,1537,38.0,28,0,0,0,0,0,0
167,L10167,L,298.7,309.5,1292,41.3,206,0,0,0,0,0,0
168,L10168,L,298.8,309.4,1632,41.4,148,0,0,0,0,0,0
169,L10169,L,298.8,308.9,1490,38.0,245,0,0,0,0,0,0
170,M10170,M,298.8,308.6,1450,35.6,1,0,0,0,0,0,0
171,M10171,M,298.8,310.0,1547,36.8,247,0,0,0,0,0,0
172,L10172,L,298.8,308.5,1428,44.2,41,0,0,0,0,0,0
173,M10173,M,298.8,309.2,1521,44.7,51,0,0,0,0,0,0
174,L10174,L,298.8,308.0,1483,33.2,37,0,0,0,0,0,0
175,M10175,M,298.7,308.0,1571,38.4,130,0,0,0,0,0,0
176,L10176,L,298.7,308.4,1479,35.5,152,0,0,0,0,0,0
177,M10177,M,298.7,307.9,1397,44.8,76,0,0,0,0,0,0
178,L10178,L,298.7,309.5,1536,37.2,215,0,0,0,0,0,0
179,H10179,H,298.8,307.4,1473,53.2,189,0,0,0,0,0,0
180,L10180,L,298.8,308.9,1318,41.3,222,0,0,0,0,0,0
181,L10181,L,298.8,308.9,1520,47.1,142,0,0,0,0,0,0
182,L10182,L,298.8,307.0,1446,33.9,197,0,0,0,0,0,0
183,H10183,H,298.8,308.4,1535,40.1,104,0,0,0,0,0,0
184,H10184,H,298.9,309.1,1414,43.7,9,0,0,0,0,0,0
185,L10185,L,298.8,309.2,1379,33.8,200,0,0,0,0,0,0
186,M10186,M,298.8,308.6,1618,40.1,241,0,0,0,0,0,0
187,H10187,H,298.7,309.4,1584,46.3,232,0,0,0,0,0,0
188,M10188,M,298.7,308.6,1499,38.0,119,0,0,0,0,0,0
189,M10189,M,298.7,308.7,1544,34.9,126,0,0,0,0,0,0
190,L10190,L,298.7,308.9,1581,50.8,113,0,0,0,0,0,0
191,L10191,L,298.6,309.6,1499,33.0,232,0,0,0,0,0,0
192,H10192,H,298.7,308.0,1379,40.9,68,0,0,0,0,0,0
193,H10193,H,298.7,308.2,1530,35.8,108,0,0,0,0,0,0
194,M10194,M,298.6,308.0,1600,34.4,43,0,0,0,0,0,0
195,L10195,L,298.6,308.3,1559,44.4,168,0,0,0,0,0,0
196,L10196,L,298.8,310.2,1506,38.8,210,0,0,0,0,0,0
197,M10197,M,298.8,309.4,1557,42.4,19,0,0,0,0,0,0
198,H10198,H,298.9,307.8,1478,26.5,224,0,0,0,0,0,0
199,H10199,H,298.9,308.3,1604,43.0,106,0,0,0,0,0,0
200,M10200,M,298.9,309.3,1635,35.7,164,0,0,0,0,0,0
201,M10201,M,298.8,307.9,1370,28.7,222,0,0,0,0,0,0
202,L10202,L,298.8,308.0,1612,51.3,166,0,0,0,0,0,0
203,L10203,L,298.7,310.1,1724,43.6,204,0,0,0,0,0,0
204,H10204,H,298.6,308.0,1553,41.4,118,0,0,0,0,0,0
205,M10205,M,298.6,309.5,1598,47.5,229,0,0,0,0,0,0
206,L10206,L,298.5,309.8,1435,41.5,108,0,0,0,0,0,0
207,L10207,L,298.5,307.8,1450,35.2,197,0,0,0,0,0,0
208,M10208,M,298.5,307.6,1479,39.0,238,0,0,0,0,0,0
209,L10209,L,298.6,308.3,1460,35.9,7,0,0,0,0,0,0
210,L10210,L,298.6,307.5,1369,37.0,42,0,0,0,0,0,0
211,M10211,M,298.6,308.7,1483,32.5,137,0,0,0,0,0,0
212,M10212,M,298.5,308.3,1584,34.2,40,0,0,0,0,0,0
213,M10213,M,298.4,308.7,1370,45.4,131,0,0,0,0,0,0
214,L10214,L,298.3,309.7,1518,42.0,205,0,0,0,0,0,0
215,M10215,M,298.3,309.1,1515,37.0,131,0,0,0,0,0,0
216,L10216,L,298.3,308.8,1470,33.8,23,0,0,0,0,0,0
217,L10217,L,298.2,306.3,1550,37.6,238,0,0,0,0,0,0
218,M10218,M,298.2,308.7,1540,29.9,20,0,0,0,0,0,0
219,M10219,M,298.2,309.9,1463,40.8,137,0,0,0,0,0,0
220,H10220,H,298.2,305.2,1606,45.7,45,0,0,0,0,0,0
221,M10221,M,298.3,309.0,1556,54.2,216,0,0,0,0,0,0
222,M10222,M,298.2,308.1,1657,33.4,197,0,0,0,0,0,0
223,L10223,L,298.2,307.4,1493,45.4,207,0,0,0,0,0,0
224,L10224,L,298.2,309.0,1468,35.8,120,0,0,0,0,0,0
225,L10225,L,298.2,309.9,1479,33.2,43,0,0,0,0,0,0
226,L10226,L,298.3,309.0,1618,33.2,219,0,0,0,0,0,0
227,H10227,H,298.3,307.9,1485,40.8,99,0,0,0,0,0,0
228,L10228,L,298.3,307.3,1491,34.4,32,0,0,0,0,0,0
229,H10229,H,298.3,308.4,1696,36.4,93,0,0,0,0,0,0
230,M10230,M,298.3,309.1,1366,37.4,35,0,0,0,0,0,0
231,M10231,M,298.3,307.9,1536,35.6,152,0,0,0,0,0,0
232,M10232,M,298.3,308.0,1494,35.1,12,0,0,0,0,0,0
233,M10233,M,298.3,311.1,1475,25.4,166,0,0,0,0,0,0
234,L10234,L,298.4,309.5,1405,40.5,206,0,0,0,0,0,0
235,L10235,L,298.3,309.5,1434,40.4,165,0,0,0,0,0,0
236,M10236,M,298.3,306.8,1459,35.2,157,0,0,0,0,0,0
237,L10237,L,298.3,307.6,1550,42.2,13,0,0,0,0,0,0
238,L10238,L,298.3,308.4,1585,48.4,49,0,0,0,0,0,0
239,M10239,M,298.2,307.2,1322,40.1,67,0,0,0,0,0,0
240,L10240,L,298.2,309.8,1380,48.0,0,0,0,0,0,0,0
241,H10241,H,298.2,309.6,1555,53.4,188,0,0,0,0,0,0
242,H10242,H,298.2,307.6,1563,55.2,2,1,0,0,1,0,0
243,H10243,H,298.1,309.9,1354,32.9,236,0,0,0,0,0,0
244,L10244,L,298.1,308.1,1587,32.9,177,0,0,0,0,0,0
245,L10245,L,298.1,310.7,1499,37.3,188,0,0,0,0,0,0
246,H10246,H,298.1,308.3,1575,40.8,163,0,0,0,0,0,0
247,L10247,L,298.2,308.7,1415,49.5,131,0,0,0,0,0,0
248,H10248,H,298.2,309.6,1361,43.8,170,0,0,0,0,0,0
249,H10249,H,298.2,309.5,1469,32.8,13,0,0,0,0,0,0
250,H10250,H,298.2,308.7,1474,36.3,88,0,0,0,0,0,0
251,L10251,L,298.2,308.1,1468,39.7,102,0,0,0,0,0,0
252,L10252,L,298.2,308.7,1461,31.1,124,0,0,0,0,0,0
253,H10253,H,298.2,307.4,1669,40.1,66,0,0,0,0,0,0
254,L10254,L,298.1,308.3,1330,32.9,6,0,0,0,0,0,0
255,L10255,L,298.2,307.1,1416,30.1,7,0,0,0,0,0,0
256,M10256,M,298.1,306.4,1458,34.3,43,0,0,0,0,0,0
257,H10257,H,298.2,308.2,1502,42.5,191,0,0,0,0,0,0
258,M10258,M,298.1,309.4,1571,42.4,134,0,0,0,0,0,0
259,M10259,M,298.1,309.1,1587,40.6,247,0,0,0,0,0,0
260,L10260,L,298.1,308.0,1608,45.9,47,0,0,0,0,0,0
261,M10261,M,298.1,309.8,1548,45.3,61,0,0,0,0,0,0
262,H10262,H,298.1,307.6,1327,41.2,24,0,0,0,0,0,0
263,L10263,L,298.2,306.2,1334,40.4,208,1,0,1,0,0,0
264,M10264,M,298.2,306.0,1615,40.8,217,0,0,0,0,0,0
265,H10265,H,298.1,306.9,1608,39.1,117,0,0,0,0,0,0
266,M10266,M,298.2,309.0,1564,27.0,195,0,0,0,0,0,0
267,M10267,M,298.3,307.7,1418,46.8,191,0,0,0,0,0,0
268,M10268,M,298.3,308.8,1468,42.4,112,0,0,0,0,0,0
269,L10269,L,298.3,310.0,1460,32.7,145,0,0,0,0,0,0
270,L10270,L,298.3,307.2,1398,48.6,121,0,0,0,0,0,0
271,H10271,H,298.3,308.8,1526,36.5,3,0,0,0,0,0,0
272,H10272,H,298.3,308.9,1716,39.4,144,0,0,0,0,0,0
273,H10273,H,298.3,307.5,1450,46.1,46,0,0,0,0,0,0
274,H10274,H,298.3,309.7,1630,41.3,117,0,0,0,0,0,0
275,M10275,M,298.3,308.0,1411,48.0,208,0,0,0,0,0,0
276,M10276,M,298.3,308.0,1346,37.9,44,0,0,0,0,0,0
277,M10277,M,298.4,310.5,1599,50.1,88,0,0,0,0,0,0
278,M10278,M,298.5,309.0,1478,35.3,185,0,0,0,0,0,0
279,M10279,M,298.5,309.5,1627,47.9,2,0,0,0,0,0,0
280,M10280,M,298.5,309.9,1647,26.4,139,0,0,0,0,0,0
281,H10281,H,298.4,307.7,1472,33.4,218,0,0,0,0,0,0
282,L10282,L,298.4,309.6,1634,41.8,144,0,0,0,0,0,0
283,L10283,L,298.4,307.9,1412,37.6,117,0,0,0,0,0,0
284,L10284,L,298.4,307.8,1411,39.6,21,0,0,0,0,0,0
285,M10285,M,298.4,308.1,1607,40.2,38,0,0,0,0,0,0
286,L10286,L,298.3,307.7,1345,32.9,38,0,0,0,0,0,0
287,L10287,L,298.3,309.2,1500,33.3,249,0,0,0,0,0,0
288,M10288,M,298.4,308.6,1625,41.4,106,0,0,0,0,0,0
289,L10289,L,298.4,307.9,1632,36.0,239,0,0,0,0,0,0
290,M10290,M,298.5,309.1,1457,48.0,99,0,0,0,0,0,0
291,L10291,L,298.5,308.2,1601,38.8,15,0,0,0,0,0,0
292,L10292,L,298.5,308.1,1388,44.3,228,0,0,0,0,0,0
293,H10293,H,298.5,308.5,1433,42.7,178,0,0,0,0,0,0
294,L10294,L,298.5,308.9,1523,36.4,117,0,0,0,0,0,0
295,L10295,L,298.5,308.9,1538,28.1,28,0,0,0,0,0,0
296,M10296,M,298.5,308.2,1395,47.1,205,0,0,0,0,0,0
297,M10297,M,298.6,309.4,1686,34.1,70,0,0,0,0,0,0
298,L10298,L,298.7,308.4,1312,37.6,168,0,0,0,0,0,0
299,M10299,M,298.8,308.1,1505,39.1,184,0,0,0,0,0,0
300,L10300,L,298.8,307.3,1520,39.7,155,0,0,0,0,0,0
301,L10301,L,298.6,309.6,1325,45.8,76,0,0,0,0,0,0
302,M10302,M,298.6,308.7,1632,40.0,207,0,0,0,0,0,0
303,M10303,M,298.6,308.8,1426,39.2,148,0,0,0,0,0,0
304,M10304,M,298.6,309.6,1510,46.1,131,0,0,0,0,0,0
305,M10305,M,298.6,308.1,1533,43.6,230,0,0,0,0,0,0
306,H10306,H,298.5,307.2,1355,35.6,125,0,0,0,0,0,0
307,M10307,M,298.6,308.6,1393,33.1,98,0,0,0,0,0,0
308,L10308,L,298.5,308.8,1656,35.1,115,0,0,0,0,0,0
309,M10309,M,298.4,308.2,1493,39.7,14,0,0,0,0,0,0
310,L10310,L,298.4,309.9,1230,32.5,248,0,0,0,0,0,0
311,L10311,L,298.5,306.0,1470,40.5,180,0,0,0,0,0,0
312,L10312,L,298.5,309.6,1497,39.2,89,0,0,0,0,0,0
313,L10313,L,298.5,309.3,1522,24.7,173,0,0,0,0,0,0
314,H10314,H,298.4,308.9,1300,31.6,134,0,0,0,0,0,0
315,H10315,H,298.4,305.1,1497,22.7,145,0,0,0,0,0,0
316,M10316,M,298.4,309.7,1417,37.9,88,0,0,0,0,0,0
317,L10317,L,298.5,307.5,1522,46.4,228,0,0,0,0,0,0
318,L10318,L,298.4,307.9,1551,28.7,148,0,0,0,0,0,0
319,L10319,L,298.4,308.2,1540,32.1,115,0,0,0,0,0,0
320,L10320,L,298.3,308.7,1640,39.0,135,0,0,0,0,0,0
321,M10321,M,298.2,308.9,1719,33.6,186,0,0,0,0,0,0
322,M10322,M,298.3,309.2,1387,33.6,19,0,0,0,0,0,0
323,M10323,M,298.3,309.1,1462,43.2,81,0,0,0,0,0,0
324,L10324,L,298.3,308.6,1574,37.0,116,0,0,0,0,0,0
325,H10325,H,298.4,308.8,1487,31.1,210,0,0,0,0,0,0
326,M10326,M,298.3,307.3,1228,27.5,243,0,0,0,0,0,0
327,M10327,M,298.3,307.6,1481,53.3,66,0,0,0,0,0,0
328,M10328,M,298.4,309.3,1623,46.8,182,0,0,0,0,0,0
329,L10329,L,298.4,309.3,1361,37.3,61,0,0,0,0,0,0
330,L10330,L,298.5,309.2,1522,40.5,229,0,0,0,0,0,0
331,L10331,L,298.5,307.9,1309,37.1,17,0,0,0,0,0,0
332,M10332,M,298.4,309.3,1587,43.1,90,0,0,0,0,0,0
333,L10333,L,298.3,307.1,1524,34.9,206,0,0,0,0,0,0
334,L10334,L,298.2,309.3,1443,36.7,109,0,0,0,0,0,0
335,L10335,L,298.3,308.0,1458,42.7,55,0,0,0,0,0,0
336,L10336,L,298.3,310.0,1350,48.7,84,0,0,0,0,0,0
337,H10337,H,298.4,306.9,1601,44.4,149,0,0,0,0,0,0
338,M10338,M,298.3,310.1,1420,47.4,7,0,0,0,0,0,0
339,L10339,L,298.4,308.0,1550,38.1,138,0,0,0,0,0,0
340,L10340,L,298.4,308.0,1404,36.3,106,0,0,0,0,0,0
341,L10341,L,298.4,308.6,1720,28.4,11,0,0,0,0,0,0
342,L10342,L,298.4,307.7,1656,40.4,175,0,0,0,0,0,0
343,L10343,L,298.4,308.3,1707,42.3,102,0,0,0,0,0,0
344,L10344,L,298.4,307.7,1719,38.2,62,0,0,0,0,0,0
345,L10345,L,298.4,307.7,1437,35.3,26,0,0,0,0,0,0
346,M10346,M,298.3,308.8,1412,47.5,34,0,0,0,0,0,0
347,M10347,M,298.3,307.4,1703,43.8,129,0,0,0,0,0,0
348,L10348,L,298.3,307.5,1486,47.9,226,0,0,0,0,0,0
349,L10349,L,298.5,307.1,1583,34.3,222,0,0,0,0,0,0
350,M10350,M,298.5,308.0,1438,35.8,135,0,0,0,0,0,0
351,M10351,M,298.5,309.8,1440,47.2,19,0,0,0,0,0,0
352,H10352,H,298.4,307.6,1583,39.7,7,0,0,0,0,0,0
353,M10353,M,298.3,307.6,1303,36.6,190,0,0,0,0,0,0
354,L10354,L,298.3,308.5,1578,37.0,67,0,0,0,0,0,0
355,L10355,L,298.3,307.9,1552,39.9,158,0,0,0,0,0,0
356,M10356,M,298.4,310.6,1447,46.0,246,0,0,0,0,0,0
357,L10357,L,298.4,308.3,1502,39.0,159,0,0,0,0,0,0
358,M10358,M,298.4,308.8,1518,44.7,140,0,0,0,0,0,0
359,H10359,H,298.4,309.4,1524,42.8,85,0,0,0,0,0,0
360,M10360,M,298.4,309.4,1569,34.7,25,0,0,0,0,0,0
361,L10361,L,298.4,308.6,1419,34.7,80,0,0,0,0,0,0
362,M10362,M,298.5,308.3,1770,37.3,156,0,0,0,0,0,0
363,L10363,L,298.5,310.5,1479,32.0,218,0,0,0,0,0,0
364,M10364,M,298.5,308.4,1487,36.9,119,0,0,0,0,0,0
365,H10365,H,298.4,307.9,1694,49.1,213,0,0,0,0,0,0
366,L10366,L,298.4,307.7,1317,39.8,17,0,0,0,0,0,0
367,H10367,H,298.4,306.7,1693,35.4,68,0,0,0,0,0,0
368,H10368,H,298.3,309.2,1509,51.5,139,0,0,0,0,0,0
369,L10369,L,298.3,306.0,1447,34.4,129,0,0,0,0,0,0
370,L10370,L,298.3,308.3,1388,34.2,169,0,0,0,0,0,0
371,L10371,L,298.3,308.1,1373,47.4,134,0,0,0,0,0,0
372,L10372,L,298.3,310.6,1466,44.0,46,0,0,0,0,0,0
373,L10373,L,298.3,306.5,1528,39.2,122,0,0,0,0,0,0
374,M10374,M,298.3,307.4,1562,45.0,217,0,0,0,0,0,0
